url,name,cost_text,rooms,parking,desc
https://www.domain.com.au/101-beaconsfield-parade-albert-park-vic-3206-17000597,"101 Beaconsfield Parade, Albert Park VIC 3206",$2800.00,"4 Beds, 2 Baths",1 Parking,"Experience the epitome of waterfront living in this stunning architectural marvel. ''Sea Mist"" is where spectacular bay views and four-bedroom spaciousness can be exclusively yours, opposite the iconic Albert Park beach and metres from cafes, trams and shops.Two-storey Victorian terrace which has undergone a complete renovation is light-filled, spacious and superb for beachside living. There's"
https://www.domain.com.au/brighton-vic-3186-9287841,Brighton VIC 3186,Fine Furnished Residences @ Westprecinct,"5 Beds, 4 Baths",2 Parking,Welcome home to the GOLD STANDARD in furnished accommodation in a Westprecinct Signature Residence!
https://www.domain.com.au/68-carpenter-street-brighton-vic-3186-17156197,"68 Carpenter Street, Brighton VIC 3186","$2,650.00","5 Beds, 3 Baths",3 Parking,Michelle Murray
https://www.domain.com.au/15a-elizabeth-street-brighton-vic-3186-17183719,"15A Elizabeth Street, Brighton VIC 3186","$2,650 Per week","5 Beds, 2 Baths",6 Parking,* Unverified feature
https://www.domain.com.au/50-esplanade-brighton-vic-3186-17047351,"50 Esplanade, Brighton VIC 3186",$2600Per Week,"5 Beds, 3 Baths",3 Parking,Megan Taylor
https://www.domain.com.au/12-33-claremont-street-south-yarra-vic-3141-17101574,"12/33 Claremont Street, South Yarra VIC 3141",$2600 pw,"3 Beds, 3 Baths",1 Parking,* Unverified feature
https://www.domain.com.au/17-art-deco-drive-deanside-vic-3336-16995817,"17 Art Deco Drive, Deanside VIC 3336",Contact Agent,"4 Beds, 2 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/4-19-birdwood-avenue-brighton-vic-3186-15875170,"4/19 Birdwood Avenue, Brighton VIC 3186","$2,500.00","3 Beds, 3 Baths",3 Parking,"Situated in the exclusive Omeo development in Brighton's Golden Mile, this breath-taking penthouse has been built to the highest quality. Security marble entrance foyer with direct lift access. Open plan formal lounge with gas log fire, stunning entertainers terrace with swimming pool overlooking the bay with views to the city and Royal Brighton Yacht Club. Spacious kitchen with Miele appliances"
https://www.domain.com.au/53-well-street-brighton-vic-3186-17095370,"53 Well Street, Brighton VIC 3186","$2,500.00","5 Beds, 2 Baths",3 Parking,"Custom-designed to bring a new level of style and serenity to contemporary family living in the Church Street Precinct. This spacious entertainer, embraced by tropical gardens and a resort-style pool, offers plenty of al fresco flair a few minutes walk from Brighton's most sought after attractions. Love the convenience and soak-up the lifestyle with Middle Brighton station, shops, restaurants"
https://www.domain.com.au/7-exon-street-brighton-vic-3186-17185430,"7 Exon Street, Brighton VIC 3186",$2500,"4 Beds, 2 Baths",2 Parking,Megan Taylor
https://www.domain.com.au/108-150-clarendon-street-east-melbourne-vic-3002-17170712,"108/150 Clarendon Street, East Melbourne VIC 3002",$2500 Per Week,"3 Beds, 2 Baths",2 Parking,Evelyne Surja
https://www.domain.com.au/2-3-grace-street-glen-waverley-vic-3150-17034113,"2/3 Grace Street, Glen Waverley VIC 3150","$2,500 pw","4 Beds, 4 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/6602a-35-queensbridge-street-melbourne-vic-3000-17072176,"6602A/35 Queensbridge Street, Melbourne VIC 3000",2500 per week,"2 Beds, 2 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/58b-the-avenue-ocean-grove-vic-3226-16902886,"58B The Avenue, Ocean Grove VIC 3226",$2250 per week,"4 Beds, 4 Baths",3 Parking,* Unverified feature
https://www.domain.com.au/6602a-35-queensbridge-street-southbank-vic-3006-17060066,"6602A/35 Queensbridge Street, Southbank VIC 3006",2500 per week,"2 Beds, 2 Baths",2 Parking,"Majestically positioned on the exclusive 66th floor is a rare opportunity to secure this glorious east-facing, two-bedroom penthouse in the exclusive Prima Tower. Custom Bates Smart interiors, double-height floor-to-ceiling windows and sublime luxurious finishes throughout, breathe the rarified air of Penthouse 6602A."
https://www.domain.com.au/6106-35-queens-bridge-street-southbank-vic-3006-17171365,"6106/35 Queens Bridge Street, Southbank VIC 3006","$2,500 - Furnished","3 Beds, 2 Baths",2 Parking,PLEASE NOTE: Open for Inspection Times and Property Availability are subject to change or cancellation. If you wish to be notified of any cancellations or changes please register your details for an inspection.
https://www.domain.com.au/1-wordsworth-street-st-kilda-vic-3182-16956336,"1 Wordsworth Street, St Kilda VIC 3182","$2,500","5 Beds, 3 Baths",1 Parking,"Nestled within a coveted beachside setting, this luxurious urban sanctuary spans three opulent levels and boasts meticulous attention to detail. Positioned on a prized corner allotment, it seamlessly combines elegance with convenience, offering unparalleled access to the vibrant culinary and cultural scenes of St Kilda and Elwood.From breathtaking beach views to leisurely park strolls and"
https://www.domain.com.au/3203-14-16-the-esplanade-st-kilda-vic-3182-15986065,"3203/14-16 The Esplanade, St Kilda VIC 3182","$2,500","3 Beds, 2 Baths",2 Parking,Danielle Boyd
https://www.domain.com.au/15-st-georges-court-toorak-vic-3142-17154511,"15 St Georges Court, Toorak VIC 3142","$2,500.00","4 Beds, 3 Baths",2 Parking,Renee Hewstone
https://www.domain.com.au/28-bethell-street-ormond-vic-3204-17084100,"28 Bethell Street, Ormond VIC 3204","$2,495 per week","4 Beds, 2 Baths",4 Parking,"Set over two magnificent levels, this four bedroom plus study home in sought-after Ormond oozes a sense of relaxed luxury living with space enough for the whole family."
https://www.domain.com.au/15-huntingfield-road-brighton-vic-3186-17156228,"15 Huntingfield Road, Brighton VIC 3186","$2,400.00","4 Beds, 2 Baths",3 Parking,Michelle Murray
