suburb,postcode
Melbourne,3000
Richmond,3121
Fitzroy,3065
Dandenong, 3175
Tarneit, 3029
Hoppers Crossing, 3029
Werribee, 3030
Geelong, 3220
Clyde, 3978 
Clyde North, 3978
