,postcode,locality
7121,3315,CLOVER FLAT
7122,3315,COLERAINE
7123,3315,COOJAR
7124,3315,CULLA
7125,3315,GRINGEGALGONA
7126,3315,GRITJURK
7127,3315,HILGAY
7128,3315,KONONGWOOTONG
7129,3315,MELVILLE FOREST
7130,3315,MUNTHAM
7131,3315,NAREEN
7132,3315,PARKWOOD
7133,3315,PASCHENDALE
7134,3315,TAHARA BRIDGE
7135,3315,TARRAYOUKYAN
7136,3315,TARRENLEA
7137,3315,WOOTONG VALE
7138,3317,HARROW
7139,3318,CHARAM
7140,3318,CONNEWIRRICOO
7141,3318,EDENHOPE
7142,3318,JALLAKIN
7143,3318,KADNOOK
7144,3318,LANGKOOP
7145,3318,MEEREEK
7146,3318,PATYAH
7147,3318,ULLSWATER
7148,3319,APSLEY
7149,3319,BENAYEO
7150,3319,BRINGALBERT
7151,3321,HESSE
7152,3321,INVERLEIGH
7153,3321,WINGEEL
7154,3322,CRESSY
7155,3323,BERRYBANK
7156,3323,DUVERNEY
7157,3323,FOXHOW
7158,3324,LISMORE
7159,3324,MINGAY
7160,3324,MOUNT BUTE
7161,3325,DERRINALLUM
7162,3325,LARRALEA
7163,3325,VITE VITE
7164,3325,VITE VITE NORTH
7165,3328,TEESDALE
7166,3329,BARUNAH PARK
7167,3329,BARUNAH PLAINS
7168,3329,SHELFORD
7169,3330,ROKEWOOD
7170,3331,BANNOCKBURN
7171,3331,GHERINGHAP
7172,3331,MAUDE
7173,3331,RUSSELLS BRIDGE
7174,3331,SHE OAKS
7175,3331,STEIGLITZ
7176,3331,SUTHERLANDS CREEK
7177,3332,LETHBRIDGE
7178,3333,BAMGANIE
7179,3333,MEREDITH
7180,3334,BUNGAL
7181,3334,CARGERIE
7182,3334,ELAINE
7183,3334,MORRISONS
7184,3334,MOUNT DORAN
7185,3335,BONNIE BROOK
7186,3335,GRANGEFIELDS
7187,3335,PLUMPTON
7188,3335,ROCKBANK
7189,3335,THORNHILL PARK
7190,3336,AINTREE
7191,3336,DEANSIDE
7192,3336,FRASER RISE
7193,3337,HARKNESS
7194,3337,KURUNJANG
7195,3337,MELTON
7196,3337,MELTON WEST
7197,3337,TOOLERN VALE
7198,3338,BROOKFIELD
7199,3338,COBBLEBANK
7200,3338,EXFORD
7201,3338,EYNESBURY
7202,3338,MELTON SOUTH
7203,3338,STRATHTULLOH
7204,3338,WEIR VIEWS
7205,3340,BACCHUS MARSH
7206,3340,BALLIANG
7207,3340,BALLIANG EAST
7208,3340,COIMADAI
7209,3340,DARLEY
7210,3340,GLENMORE
7211,3340,HOPETOUN PARK
7212,3340,LONG FOREST
7213,3340,MADDINGLEY
7214,3340,MERRIMU
7215,3340,PARWAN
7216,3340,ROWSLEY
7217,3340,STAUGHTON VALE
7218,3341,DALES CREEK
7219,3341,GREENDALE
7220,3341,KOROBEIT
7221,3341,MYRNIONG
7222,3341,PENTLAND HILLS
7223,3342,BALLAN
7224,3342,BEREMBOKE
7225,3342,BLAKEVILLE
7226,3342,BUNDING
7227,3342,COLBROOK
7228,3342,DURDIDWARRAH
7229,3342,FISKVILLE
7230,3342,INGLISTON
7231,3342,MOUNT WALLACE
7232,3345,GORDON
7233,3350,ALFREDTON
7234,3350,BAKERY HILL
7235,3350,BALLARAT
7236,3350,BALLARAT CENTRAL
7237,3350,BALLARAT EAST
7238,3350,BALLARAT NORTH
7239,3350,BALLARAT WEST
7240,3350,BLACK HILL
7241,3350,BROWN HILL
7242,3350,CANADIAN
7243,3350,EUREKA
7244,3350,GOLDEN POINT
7245,3350,INVERMAY PARK
7246,3350,LAKE WENDOUREE
7247,3350,LUCAS
7248,3350,MOUNT CLEAR
7249,3350,MOUNT HELEN
7250,3350,MOUNT PLEASANT
7251,3350,NERRINA
7252,3350,NEWINGTON
7253,3350,REDAN
7254,3350,SOLDIERS HILL
7255,3350,SOVEREIGN HILL
7256,3351,BERRINGA
7257,3351,BO PEEP
7258,3351,CAPE CLEAR
7259,3351,CARNGHAM
7260,3351,CHEPSTOWE
7261,3351,HADDON
7262,3351,HAPPY VALLEY
7263,3351,HILLCREST
7264,3351,ILLABAROOK
7265,3351,LAKE BOLAC
7266,3351,MININERA
7267,3351,MORTCHUP
7268,3351,MOUNT EMU
7269,3351,NERRIN NERRIN
7270,3351,NEWTOWN
7271,3351,NINTINGBOOL
7272,3351,PIGGOREET
7273,3351,PITFIELD
7274,3351,ROKEWOOD JUNCTION
7275,3351,ROSS CREEK
7276,3351,SCARSDALE
7277,3351,SMYTHES CREEK
7278,3351,SMYTHESDALE
7279,3351,SNAKE VALLEY
7280,3351,SPRINGDALLAH
7281,3351,STAFFORDSHIRE REEF
7282,3351,STREATHAM
7283,3351,WALLINDUC
7284,3351,WESTMERE
7285,3352,ADDINGTON
7286,3352,BALLARAT ROADSIDE DELIVERY
7287,3352,BARKSTEAD
7288,3352,BLOWHARD
7289,3352,BOLWARRAH
7290,3352,BONSHAW
7291,3352,BREWSTER
7292,3352,BULLAROOK
7293,3352,BUNGAREE
7294,3352,BUNKERS HILL
7295,3352,BURRUMBEET
7296,3352,CAMBRIAN HILL
7297,3352,CARDIGAN
7298,3352,CARDIGAN VILLAGE
7299,3352,CHAPEL FLAT
7300,3352,CLARENDON
7301,3352,CLARETOWN
7302,3352,CLARKES HILL
7303,3352,CORINDHAP
7304,3352,DEAN
7305,3352,DEREEL
7306,3352,DUNNSTOWN
7307,3352,DURHAM LEAD
7308,3352,ENFIELD
7309,3352,ERCILDOUNE
7310,3352,GARIBALDI
7311,3352,GLEN PARK
7312,3352,GLENBRAE
7313,3352,GONG GONG
7314,3352,GRENVILLE
7315,3352,INVERMAY
7316,3352,LAL LAL
7317,3352,LAMPLOUGH
7318,3352,LANGI KAL KAL
7319,3352,LEARMONTH
7320,3352,LEIGH CREEK
7321,3352,LEXTON
7322,3352,MAGPIE
7323,3352,MILLBROOK
7324,3352,MINERS REST
7325,3352,MITCHELL PARK
7326,3352,MOLLONGGHIP
7327,3352,MOUNT BOLTON
7328,3352,MOUNT EGERTON
7329,3352,MOUNT MERCER
7330,3352,MOUNT MITCHELL
7331,3352,MOUNT ROWAN
7332,3352,NAPOLEONS
7333,3352,NAVIGATORS
7334,3352,POOTILLA
7335,3352,SCOTCHMANS LEAD
7336,3352,SCOTSBURN
7337,3352,SPRINGBANK
7338,3352,SULKY
7339,3352,WALLACE
7340,3352,WARRENHEIP
7341,3352,WATTLE FLAT
7342,3352,WAUBRA
7343,3352,WEATHERBOARD
7344,3352,WERNETH
7345,3352,WINDERMERE
7346,3352,YENDON
7347,3353,BALLARAT
7348,3354,BAKERY HILL
7349,3354,BALLARAT MC
7350,3355,LAKE GARDENS
7351,3355,MITCHELL PARK
7352,3355,WENDOUREE
7353,3355,WENDOUREE VILLAGE
7354,3356,BONSHAW
7355,3356,DELACOMBE
7356,3356,SEBASTOPOL
7357,3357,BUNINYONG
7358,3357,SCOTSMANS LEAD
7359,3357,YARROWEE
7360,3358,WINTER VALLEY
7361,3360,HAPPY VALLEY
7362,3360,LINTON
7363,3360,MANNIBADAR
7364,3360,PITTONG
7365,3360,WILLOWVALE
7366,3361,BRADVALE
7367,3361,CARRANBALLAC
7368,3361,SKIPTON
7369,3363,CRESWICK
7370,3363,CRESWICK NORTH
7371,3363,DEAN
7372,3363,GLENDARUEL
7373,3363,LANGDONS HILL
7374,3363,MOUNT BECKWORTH
7375,3363,TOURELLO
7376,3364,ALLENDALE
7377,3364,ASCOT
7378,3364,BALD HILLS
7379,3364,BARKSTEAD
7380,3364,BLAMPIED
7381,3364,BROOMFIELD
7382,3364,CABBAGE TREE
7383,3364,CAMPBELLTOWN
7384,3364,COGHILLS CREEK
7385,3364,GLENDONALD
7386,3364,GLENDONNELL
7387,3364,JOYCES CREEK
7388,3364,KINGSTON
7389,3364,KOOROOCHEANG
7390,3364,LAWRENCE
7391,3364,MOUNT PROSPECT
7392,3364,NEWLYN
7393,3364,NEWLYN NORTH
7394,3364,ROCKLYN
7395,3364,SMEATON
7396,3364,SMOKEY TOWN
7397,3364,SMOKEYTOWN
7398,3364,SPRINGMOUNT
7399,3364,STRATHLEA
7400,3364,ULLINA
7401,3364,WERONA
7402,3370,CLUNES
7403,3370,GLENGOWER
7404,3370,MOUNT CAMERON
7405,3370,ULLINA
7406,3371,AMHERST
7407,3371,BURNBANK
7408,3371,CARALULUP
7409,3371,DUNACH
7410,3371,EVANSFORD
7411,3371,LILLICUR
7412,3371,MOUNT GLASGOW
7413,3371,RED LION
7414,3371,STONY CREEK
7415,3371,TALBOT
7416,3373,BEAUFORT
7417,3373,CHUTE
7418,3373,CROSS ROADS
7419,3373,LAKE GOLDSMITH
7420,3373,LAKE WONGAN
7421,3373,MAIN LEAD
7422,3373,MENA PARK
7423,3373,NERRING
7424,3373,RAGLAN
7425,3373,SHIRLEY
7426,3373,STOCKYARD HILL
7427,3373,STONELEIGH
7428,3373,TRAWALLA
7429,3373,WATERLOO
7430,3374,GREAT WESTERN
7431,3375,BALLYROGAN
7432,3375,BAYINDEEN
7433,3375,BUANGOR
7434,3375,MIDDLE CREEK
7435,3377,AMPHITHEATRE
7436,3377,ARARAT
7437,3377,ARARAT EAST
7438,3377,ARMSTRONG
7439,3377,BEN NEVIS
7440,3377,BULGANA
7441,3377,CATHCART
7442,3377,CROWLANDS
7443,3377,DENICULL CREEK
7444,3377,DOBIE
7445,3377,DUNNEWORTHY
7446,3377,EVERSLEY
7447,3377,GREAT WESTERN
7448,3377,JALLUKUR
7449,3377,LANGI LOGAN
7450,3377,MAROONA
7451,3377,MOUNT COLE
7452,3377,MOUNT COLE CREEK
7453,3377,MOUNT LONARCH
7454,3377,MOYSTON
7455,3377,NORVAL
7456,3377,RHYMNEY
7457,3377,ROCKY POINT
7458,3377,ROSSBRIDGE
7459,3377,SHAYS FLAT
7460,3377,WARRAK
7461,3378,TATYOON
7462,3378,YALLA-Y-POORA
7463,3379,BERRAMBOOL
7464,3379,BORNES HILL
7465,3379,CHATSWORTH
7466,3379,MAFEKING
7467,3379,STAVELY
7468,3379,WATGANIA
7469,3379,WICKLIFFE
7470,3379,WILLAURA
7471,3379,WILLAURA NORTH
7472,3380,BELLELLEN
7473,3380,BRIDGE INN
7474,3380,MOKEPILLY
7475,3380,STAWELL
7476,3380,STAWELL WEST
7477,3380,WINJALLOK
7478,3381,BARKLY
7479,3381,BELLELLEN
7480,3381,BELLFIELD
7481,3381,BLACK RANGE
7482,3381,BOLANGUM
7483,3381,CALLAWADDA
7484,3381,CAMPBELLS BRIDGE
7485,3381,CONCONGELLA
7486,3381,DEEP LEAD
7487,3381,FYANS CREEK
7488,3381,GERMANIA
7489,3381,GREENS CREEK
7490,3381,HALLS GAP
7491,3381,ILLAWARRA
7492,3381,JOEL JOEL
7493,3381,JOEL SOUTH
7494,3381,KANYA
7495,3381,LAKE FYANS
7496,3381,LAKE LONSDALE
7497,3381,LUBECK
7498,3381,MOKEPILLY
7499,3381,MORRL MORRL
7500,3381,MOUNT DRYDEN
7501,3381,PARADISE
7502,3381,POMONAL
7503,3381,ROSTRON
7504,3381,WAL WAL
7505,3381,WALLALOO
7506,3381,WALLALOO EAST
7507,3384,BARKLY
7508,3384,CONCONGELLA
7509,3384,FRENCHMANS
7510,3384,JOEL JOEL
7511,3384,JOEL SOUTH
7512,3384,LANDSBOROUGH
7513,3384,LANDSBOROUGH WEST
7514,3384,NAVARRE
7515,3384,SHAYS FLAT
7516,3384,TULKARA
7517,3384,WATTLE CREEK
7518,3385,DADSWELLS BRIDGE
7519,3385,DEEP LEAD
7520,3385,GLENORCHY
7521,3385,LEDCOURT
7522,3385,LUBECK
7523,3385,RIACHELLA
7524,3385,ROSES GAP
7525,3385,WAL WAL
7526,3387,BOLANGUM
7527,3387,CALLAWADDA
7528,3387,CAMPBELLS BRIDGE
7529,3387,GERMANIA
7530,3387,GREENS CREEK
7531,3387,KANYA
7532,3387,MARNOO
7533,3387,MARNOO WEST
7534,3387,MORRL MORRL
7535,3387,WALLALOO
7536,3387,WALLALOO EAST
7537,3388,BANYENA
7538,3388,RUPANYUP
7539,3390,KEWELL
7540,3390,MURTOA
7541,3391,BRIM
7542,3392,BOOLITE
7543,3392,MINYIP
7544,3392,SHEEP HILLS
7545,3393,AILSA
7546,3393,ANGIP
7547,3393,AUBREY
7548,3393,BANGERANG
7549,3393,CANNUM
7550,3393,CRYMELON
7551,3393,KELLALAC
7552,3393,LAH
7553,3393,WARRACKNABEAL
7554,3393,WILKUR
7555,3393,WILLENABRINA
7556,3395,BEULAH
7557,3395,KENMARE
7558,3395,REEDY DAM
7559,3395,ROSEBERY
7560,3396,HOPETOUN
7561,3396,HOPEVALE
7562,3396,YARTO
7563,3399,JUNG
7564,3399,LONGERENONG
7565,3400,BRIMPAEN
7566,3400,HORSHAM
7567,3400,HORSHAM WEST
7568,3400,ST HELENS PLAINS
7569,3400,WARTOOK
7570,3400,WONWONDAH EAST
7571,3400,WONWONDAH SOUTH
7572,3401,BLACKHEATH
7573,3401,BRIMPAEN
7574,3401,BUNGALALLY
7575,3401,CHERRYPOOL
7576,3401,CLEAR LAKE
7577,3401,CONNANGORACH
7578,3401,DAHLEN
7579,3401,DOOEN
7580,3401,DOUGLAS
7581,3401,DRUNG
7582,3401,GREEN LAKE
7583,3401,GYMBOWEN
7584,3401,HAVEN
7585,3401,HORSHAM
7586,3401,JALLUMBA
7587,3401,JILPANGER
7588,3401,JUNG
7589,3401,KALKEE
7590,3401,KANAGULK
7591,3401,KARNAK
7592,3401,LAHARUM
7593,3401,LONGERENONG
7594,3401,LOWER NORTON
7595,3401,MCKENZIE CREEK
7596,3401,MIGA LAKE
7597,3401,MITRE
7598,3401,MOCKINYA
7599,3401,MURRA WARRA
7600,3401,NORADJUHA
7601,3401,NURCOUNG
7602,3401,NURRABIEL
7603,3401,PIMPINIO
7604,3401,QUANTONG
7605,3401,REMLAW
7606,3401,RIVERSIDE
7607,3401,ROCKLANDS
7608,3401,ROCKLANDS
7609,3401,ST HELENS PLAINS
7610,3401,TELANGATUK EAST
7611,3401,TOOAN
7612,3401,TOOLONDO
7613,3401,VECTIS
7614,3401,WAIL
7615,3401,WALLUP
7616,3401,WARTOOK
7617,3401,WOMBELANO
7618,3401,WONWONDAH
7619,3401,ZUMSTEINS
7620,3402,HORSHAM
7621,3407,BALMORAL
7622,3407,ENGLEFIELD
7623,3407,GATUM
7624,3407,PIGEON PONDS
7625,3407,VASEY
7626,3409,ARAPILES
7627,3409,CLEAR LAKE
7628,3409,DOUGLAS
7629,3409,DUCHEMBEGARRA
7630,3409,GRASS FLAT
7631,3409,JILPANGER
7632,3409,MIGA LAKE
7633,3409,MITRE
7634,3409,NATIMUK
7635,3409,NORADJUHA
7636,3409,TOOAN
7637,3409,WOMBELANO
7638,3412,GOROKE
7639,3413,MINIMAY
7640,3413,NEUARPURR
7641,3413,OZENKADNOOK
7642,3413,PERONNE
7643,3414,ANTWERP
7644,3414,DIMBOOLA
7645,3414,TARRANYURK
7646,3415,MIRAM
7647,3415,YARRUNGA
7648,3418,BROUGHTON
7649,3418,GERANG GERUNG
7650,3418,GLENLEE
7651,3418,KIATA
7652,3418,LAWLOIT
7653,3418,LITTLE DESERT
7654,3418,LORQUON
7655,3418,NETHERBY
7656,3418,NHILL
7657,3418,YANAC
7658,3419,KANIVA
7659,3420,LILLIMUR
7660,3420,SERVICETON
7661,3420,TELOPEA DOWNS
7662,3423,JEPARIT
7663,3423,LAKE HINDMARSH
7664,3424,ALBACUTYA
7665,3424,RAINBOW
7666,3424,YAAPEET
7667,3427,DIGGERS REST
7668,3427,PLUMPTON
7669,3428,BULLA
7670,3429,SUNBURY
7671,3429,WILDWOOD
7672,3430,CLARKEFIELD
7673,3431,RIDDELLS CREEK
7674,3432,BOLINDA
7675,3433,MONEGEETTA
7676,3434,CHEROKEE
7677,3434,KERRIE
7678,3434,ROMSEY
7679,3434,SPRINGFIELD
7680,3435,BENLOCH
7681,3435,GOLDIE
7682,3435,LANCEFIELD
7683,3435,NULLA VALE
7684,3437,BULLENGAROOK
7685,3437,GISBORNE
7686,3437,GISBORNE SOUTH
7687,3438,NEW GISBORNE
7688,3440,MACEDON
7689,3441,MOUNT MACEDON
7690,3442,ASHBOURNE
7691,3442,CADELLO
7692,3442,CARLSRUHE
7693,3442,COBAW
7694,3442,HANGING ROCK
7695,3442,HESKET
7696,3442,NEWHAM
7697,3442,ROCHFORD
7698,3442,WOODEND
7699,3442,WOODEND NORTH
7700,3444,BARFOLD
7701,3444,BAYNTON
7702,3444,BAYNTON EAST
7703,3444,EDGECOMBE
7704,3444,GLENHOPE
7705,3444,GREENHILL
7706,3444,KYNETON
7707,3444,KYNETON SOUTH
7708,3444,LANGLEY
7709,3444,LAURISTON
7710,3444,LYAL
7711,3444,METCALFE EAST
7712,3444,MIA MIA
7713,3444,MYRTLE CREEK
7714,3444,PASTORIA
7715,3444,PASTORIA EAST
7716,3444,PIPERS CREEK
7717,3444,REDESDALE
7718,3444,SIDONIA
7719,3444,SPRING HILL
7720,3444,TYLDEN
7721,3444,TYLDEN SOUTH
7722,3446,DRUMMOND NORTH
7723,3446,MALMSBURY
7724,3447,TARADALE
7725,3448,ELPHINSTONE
7726,3448,METCALFE
7727,3448,SUTTON GRANGE
7728,3450,CASTLEMAINE
7729,3450,MOONLIGHT FLAT
7730,3451,BARKERS CREEK
7731,3451,CAMPBELLS CREEK
7732,3451,CHEWTON
7733,3451,CHEWTON BUSHLANDS
7734,3451,FARADAY
7735,3451,FRYERSTOWN
7736,3451,GLENLUCE
7737,3451,GOLDEN POINT
7738,3451,GOWER
7739,3451,GUILDFORD
7740,3451,IRISHTOWN
7741,3451,MCKENZIE HILL
7742,3451,MUCKLEFORD
7743,3451,TARILTA
7744,3451,VAUGHAN
7745,3451,WOODBROOK
7746,3451,YAPEEN
7747,3453,HARCOURT
7748,3453,HARCOURT NORTH
7749,3453,RAVENSWOOD
7750,3453,RAVENSWOOD SOUTH
7751,3458,BARRYS REEF
7752,3458,BLACKWOOD
7753,3458,FERN HILL
7754,3458,LERDERDERG
7755,3458,LITTLE HAMPTON
7756,3458,NEWBURY
7757,3458,NORTH BLACKWOOD
7758,3458,TRENTHAM
7759,3458,TRENTHAM EAST
7760,3460,BASALT
7761,3460,DAYLESFORD
7762,3461,BULLARTO
7763,3461,BULLARTO SOUTH
7764,3461,CLYDESDALE
7765,3461,COOMOORA
7766,3461,DENVER
7767,3461,DRUMMOND
7768,3461,DRY DIGGINGS
7769,3461,EGANSTOWN
7770,3461,ELEVATED PLAINS
7771,3461,FRANKLINFORD
7772,3461,GLENLYON
7773,3461,HEPBURN
7774,3461,HEPBURN SPRINGS
7775,3461,KORWEINGUBOORA
7776,3461,LEONARDS HILL
7777,3461,LYONVILLE
7778,3461,MOUNT FRANKLIN
7779,3461,MUSK
7780,3461,MUSK VALE
7781,3461,PORCUPINE RIDGE
7782,3461,SAILORS FALLS
7783,3461,SAILORS HILL
7784,3461,SHEPHERDS FLAT
7785,3461,SPARGO CREEK
7786,3461,STRANGWAYS
7787,3461,WHEATSHEAF
7788,3461,YANDOIT
7789,3461,YANDOIT HILLS
7790,3462,GREEN GULLY
7791,3462,JOYCES CREEK
7792,3462,MUCKLEFORD SOUTH
7793,3462,NEWSTEAD
7794,3462,SANDON
7795,3462,WELSHMANS REEF
7796,3463,BARINGHUP
7797,3463,BARINGHUP WEST
7798,3463,BRADFORD
7799,3463,EASTVILLE
7800,3463,GOWER
7801,3463,LAANECOORIE
7802,3463,MALDON
7803,3463,NEEREMAN
7804,3463,NUGGETTY
7805,3463,PERKINS REEF
7806,3463,PORCUPINE FLAT
7807,3463,SHELBOURNE
7808,3463,TARRENGOWER
7809,3463,WALMER
7810,3463,WOODSTOCK WEST
7811,3464,CARISBROOK
7812,3465,ADELAIDE LEAD
7813,3465,ALMA
7814,3465,BOWENVALE
7815,3465,BUNG BONG
7816,3465,COTSWOLD
7817,3465,CRAIGIE
7818,3465,DAISY HILL
7819,3465,FLAGSTAFF
7820,3465,GOLDEN POINT
7821,3465,HAVELOCK
7822,3465,HOMEBUSH
7823,3465,MAJORCA
7824,3465,MARYBOROUGH
7825,3465,MOOLORT
7826,3465,MOONLIGHT FLAT
7827,3465,NATTE YALLOCK
7828,3465,RATHSCAR
7829,3465,RATHSCAR WEST
7830,3465,RODBOROUGH
7831,3465,SIMSON
7832,3465,TIMOR
7833,3465,TIMOR WEST
7834,3465,WAREEK
7835,3467,AVOCA
7836,3467,MOYREISK
7837,3468,AMPHITHEATRE
7838,3468,MOUNT LONARCH
7839,3469,ELMHURST
7840,3469,GLENLOFTY
7841,3469,GLENLOGIE
7842,3469,GLENPATRICK
7843,3469,NOWHERE CREEK
7844,3472,BET BET
7845,3472,BETLEY
7846,3472,BROMLEY
7847,3472,DUNLUCE
7848,3472,DUNOLLY
7849,3472,EDDINGTON
7850,3472,GOLDSBOROUGH
7851,3472,INKERMAN
7852,3472,MCINTYRE
7853,3472,MOLIAGUL
7854,3472,MOUNT HOOGHLY
7855,3475,ARCHDALE
7856,3475,ARCHDALE JUNCTION
7857,3475,BEALIBA
7858,3475,BURKES FLAT
7859,3475,COCHRANES CREEK
7860,3475,EMU
7861,3475,LOGAN
7862,3477,AVON PLAINS
7863,3477,BEAZLEYS BRIDGE
7864,3477,CARAPOOEE
7865,3477,CARAPOOEE WEST
7866,3477,COONOOER BRIDGE
7867,3477,COONOOER WEST
7868,3477,DALYENONG
7869,3477,GOOROC
7870,3477,GOWAR EAST
7871,3477,GRAYS BRIDGE
7872,3477,GRE GRE
7873,3477,GRE GRE NORTH
7874,3477,GRE GRE SOUTH
7875,3477,KOOREH
7876,3477,MARNOO EAST
7877,3477,MOOLERR
7878,3477,MOYREISK
7879,3477,PARADISE
7880,3477,REDBANK
7881,3477,ROSTRON
7882,3477,SLATY CREEK
7883,3477,ST ARNAUD EAST
7884,3477,ST ARNAUD NORTH
7885,3477,STUART MILL
7886,3477,SUTHERLAND
7887,3477,SWANWATER
7888,3477,TOTTINGTON
7889,3477,TRAYNORS LAGOON
7890,3477,WINJALLOK
7891,3477,YORK PLAINS
7892,3478,AVON PLAINS
7893,3478,BEAZLEYS BRIDGE
7894,3478,BERRIMAL WEST
7895,3478,CARAPOOEE
7896,3478,CARAPOOEE WEST
7897,3478,COONOOER BRIDGE
7898,3478,COONOOER WEST
7899,3478,DARKBONEE
7900,3478,DOOBOOBETIC
7901,3478,ELBERTON
7902,3478,GOOROC
7903,3478,GOWAR EAST
7904,3478,GRE GRE
7905,3478,GRE GRE NORTH
7906,3478,GRE GRE SOUTH
7907,3478,KOOREH
7908,3478,MEDLYN
7909,3478,MITCHELLS HILL
7910,3478,MOOLERR
7911,3478,MOONAMBEL
7912,3478,PERCYDALE
7913,3478,SLATY CREEK
7914,3478,ST ARNAUD
7915,3478,ST ARNAUD EAST
7916,3478,ST ARNAUD NORTH
7917,3478,STUART MILL
7918,3478,SUTHERLAND
7919,3478,SWANWATER
7920,3478,TANWOOD
7921,3478,TOTTINGTON
7922,3478,TRAYNORS LAGOON
7923,3478,TULKARA
7924,3478,WARRENMANG
7925,3478,YAWONG HILLS
7926,3480,AREEGRA
7927,3480,BANYENONG
7928,3480,BOOLITE
7929,3480,CARRON
7930,3480,COPE COPE
7931,3480,CORACK
7932,3480,CORACK EAST
7933,3480,DONALD
7934,3480,GIL GIL
7935,3480,JEFFCOTT
7936,3480,JEFFCOTT NORTH
7937,3480,LAEN
7938,3480,LAEN EAST
7939,3480,LAEN NORTH
7940,3480,LAKE BULOKE
7941,3480,LAWLER
7942,3480,LITCHFIELD
7943,3480,RICH AVON
7944,3480,RICH AVON EAST
7945,3480,RICH AVON WEST
7946,3480,SWANWATER WEST
7947,3482,MASSEY
7948,3482,MORTON PLAINS
7949,3482,WARMUR
7950,3482,WATCHEM
7951,3482,WATCHEM WEST
7952,3483,BALLAPUR
7953,3483,BIRCHIP
7954,3483,BIRCHIP WEST
7955,3483,CURYO
7956,3483,JIL JIL
7957,3483,KARYRIE
7958,3483,KINNABULLA
7959,3483,MARLBED
7960,3483,NARRAPORT
7961,3483,REEDY DAM
7962,3483,WHIRILY
7963,3485,BANYAN
7964,3485,WATCHUPGA
7965,3485,WILLANGIE
7966,3485,WOOMELANG
7967,3487,LASCELLES
7968,3488,SPEED
7969,3488,TURRIFF
7970,3488,TURRIFF EAST
7971,3489,TEMPY
7972,3490,BIG DESERT
7973,3490,BOINKA
7974,3490,KULWIN
7975,3490,MITTYACK
7976,3490,MURRAY-SUNSET
7977,3490,OUYEN
7978,3490,TORRITA
7979,3490,TUTYE
7980,3491,PATCHEWOLLOCK
7981,3494,CARWARP
7982,3494,COLIGNAN
7983,3494,IRAAK
7984,3494,NANGILOC
7985,3496,CARDROSS
7986,3496,CULLULLERAINE
7987,3496,LINDSAY POINT
7988,3496,MERINGUR
7989,3496,MERRINEE
7990,3496,MURRAY LOCK NO 9
7991,3496,NEDS CORNER
7992,3496,RED CLIFFS
7993,3496,SUNNYCLIFFS
7994,3496,WERRIMULL
7995,3498,IRYMPLE
7996,3500,MILDURA
7997,3500,MILDURA EAST
7998,3500,MILDURA WEST
8000,3501,HATTAH
8001,3501,KOORLONG
8002,3501,MILDURA CENTRE PLAZA
8003,3501,MILDURA SOUTH
8004,3501,NICHOLS POINT
8005,3502,MILDURA
8006,3505,BIRDWOODTON
8007,3505,CABARITA
8008,3505,MERBEIN
8009,3505,MERBEIN SOUTH
8010,3505,MERBEIN WEST
8011,3505,WARGAN
8012,3505,YELTA
8013,3506,COWANGIE
8014,3507,WALPEUP
8015,3509,LINGA
8016,3509,UNDERBOOL
8017,3512,CARINA
8018,3512,MURRAYVILLE
8019,3512,PANITYA
8020,3515,MARONG
8021,3515,SHELBOURNE
8022,3515,WILSONS HILL
8023,3516,BRIDGEWATER
8024,3516,BRIDGEWATER NORTH
8025,3516,BRIDGEWATER ON LODDON
8026,3516,DERBY
8027,3516,LEICHARDT
8028,3516,YARRABERB
8029,3517,BEARS LAGOON
8030,3517,BRENANAH
8031,3517,BULLABUL
8032,3517,GLENALBYN
8033,3517,INGLEWOOD
8034,3517,JARKLIN
8035,3517,KINGOWER
8036,3517,KURTING
8037,3517,POWLETT PLAINS
8038,3517,RHEOLA
8039,3517,SALISBURY WEST
8040,3517,SERPENTINE
8041,3518,BERRIMAL
8042,3518,BORUNG
8043,3518,FENTONS CREEK
8044,3518,FERNIHURST
8045,3518,FIERY FLAT
8046,3518,KURRACA
8047,3518,KURRACA WEST
8048,3518,MYSIA
8049,3518,NINE MILE
8050,3518,RICHMOND PLAINS
8051,3518,SKINNERS FLAT
8052,3518,WEDDERBURN
8053,3518,WEDDERBURN JUNCTION
8054,3518,WEHLA
8055,3518,WOOLSHED FLAT
8056,3518,WOOSANG
8057,3520,KINYPANIAL
8058,3520,KORONG VALE
8059,3520,SOUTH KINYPANIAL
8060,3521,PYALONG
8061,3522,EMU FLAT
8062,3522,GLENHOPE EAST
8063,3522,TOOBORAC
8064,3523,ARGYLE
8065,3523,COSTERFIELD
8066,3523,DERRINAL
8067,3523,HEATHCOTE
8068,3523,HEATHCOTE SOUTH
8069,3523,KNOWSLEY
8070,3523,LADYS PASS
8071,3523,MOORMBOOL WEST
8072,3523,MOUNT CAMEL
8073,3523,REDCASTLE
8074,3525,BARRAKEE
8075,3525,BUCKRABANYULE
8076,3525,CHARLTON
8077,3525,CHIRRIP
8078,3525,GRANITE FLAT
8079,3525,JEFFCOTT
8080,3525,JEFFCOTT NORTH
8081,3525,LAKE MARMAL
8082,3525,NAREEWILLOCK
8083,3525,TEDDYWADDY
8084,3525,TEDDYWADDY WEST
8085,3525,TERRAPPEE
8086,3525,WOOROONOOK
