,postcode,locality
6406,3084,HEIDELBERG
6407,3084,ROSANNA
6408,3084,VIEWBANK
6409,3085,MACLEOD
6410,3085,MACLEOD WEST
6411,3085,YALLAMBIE
6412,3086,LA TROBE UNIVERSITY
6413,3087,WATSONIA
6414,3087,WATSONIA NORTH
6415,3088,BRIAR HILL
6416,3088,GREENSBOROUGH
6417,3088,SAINT HELENA
6418,3088,ST HELENA
6419,3089,DIAMOND CREEK
6420,3090,PLENTY
6421,3091,YARRAMBAT
6422,3093,LOWER PLENTY
6423,3094,MONTMORENCY
6424,3095,ELTHAM
6425,3095,ELTHAM NORTH
6426,3095,RESEARCH
6427,3096,WATTLE GLEN
6428,3097,BEND OF ISLANDS
6429,3097,KANGAROO GROUND
6430,3097,WATSONS CREEK
6431,3099,ARTHURS CREEK
6432,3099,COTTLES BRIDGE
6433,3099,HURSTBRIDGE
6434,3099,NUTFIELD
6435,3099,STRATHEWEN
6436,3101,COTHAM
6437,3101,KEW
6438,3102,KEW EAST
6439,3103,BALWYN
6440,3103,BALWYN EAST
6441,3103,DEEPDENE
6442,3103,DEEPDENE DC
6443,3103,STRADBROKE PARK
6444,3104,BALWYN NORTH
6445,3104,GREYTHORN
6446,3105,BULLEEN
6447,3105,BULLEEN SOUTH
6448,3106,TEMPLESTOWE
6449,3107,TEMPLESTOWE LOWER
6450,3108,DONCASTER
6451,3109,DONCASTER EAST
6452,3109,DONCASTER HEIGHTS
6453,3109,THE PINES
6454,3109,TUNSTALL SQUARE PO
6455,3111,DONVALE
6456,3113,NORTH WARRANDYTE
6457,3113,WARRANDYTE
6458,3114,PARK ORCHARDS
6459,3115,WONGA PARK
6460,3116,CHIRNSIDE PARK
6461,3121,BURNLEY
6462,3121,BURNLEY NORTH
6463,3121,CREMORNE
6464,3121,RICHMOND
6465,3121,RICHMOND EAST
6466,3121,RICHMOND NORTH
6467,3121,RICHMOND SOUTH
6468,3121,VICTORIA GARDENS
6469,3122,AUBURN SOUTH
6470,3122,GLENFERRIE SOUTH
6471,3122,HAWTHORN
6472,3122,HAWTHORN NORTH
6473,3122,HAWTHORN WEST
6474,3123,AUBURN
6475,3123,HAWTHORN EAST
6476,3124,CAMBERWELL
6477,3124,CAMBERWELL NORTH
6478,3124,CAMBERWELL SOUTH
6479,3124,CAMBERWELL WEST
6480,3124,HARTWELL
6481,3124,MIDDLE CAMBERWELL
6482,3125,BENNETTSWOOD
6483,3125,BURWOOD
6484,3125,SURREY HILLS SOUTH
6485,3126,CAMBERWELL EAST
6486,3126,CANTERBURY
6487,3127,MONT ALBERT
6488,3127,SURREY HILLS
6489,3127,SURREY HILLS NORTH
6490,3128,BOX HILL
6491,3128,BOX HILL CENTRAL
6492,3128,BOX HILL SOUTH
6493,3128,HOUSTON
6494,3128,WATTLE PARK
6495,3129,BOX HILL NORTH
6496,3129,KERRIMUIR
6497,3129,MONT ALBERT NORTH
6498,3130,BLACKBURN
6499,3130,BLACKBURN NORTH
6500,3130,BLACKBURN SOUTH
6501,3130,LABURNUM
6502,3131,BRENTFORD SQUARE
6503,3131,FOREST HILL
6504,3131,NUNAWADING
6505,3132,MITCHAM
6506,3132,MITCHAM NORTH
